Субъект РФ;Самостоятельные образовательные организации, всего;Самостоятельные образовательные организации, государственные и муниципальные;Самостоятельные образовательные организаци, частные;Филиалы самостоятельных образовательных организаций, всего;Филиалы самостоятельных образовательных организаций, государственные и муниципальные;Филиалы самостоятельных образовательных организаций, частные;Численность студентов, всего человек;Численность работников, всего человек;Профессорско-преподавательский состав, всего человек;Год формирования сведений
   Республика Дагестан;13;6;7;16;15;1;51629;5836;2876;2019
   Республика Ингушетия;2;1;1;0;0;0;7350;789;304;2019
   Кабардино-Балкарская Республика;4;3;1;0;0;0;15255;2181;849;2019
   Карачаево-Черкесская Республика;2;2;0;3;1;2;11231;1346;568;2019
   Республика Северная Осетия - Алания;6;5;1;1;1;0;20881;3139;1407;2019
   Чеченская Республика;3;3;0;1;0;1;33576;1938;1057;2019
   Ставропольский край;13;6;7;19;17;2;68688;8274;3603;2019
Приволжский федеральный округ;112;86;26;125;98;27;807917;104508;41336;2019
   Республика Башкортостан;10;8;2;18;16;2;97187;10989;4884;2019
   Республика Марий Эл;3;2;1;0;0;0;17267;2337;887;2019
   Республика Мордовия;2;2;0;3;2;1;25461;3206;1468;2019
   Республика Татарстан;22;13;9;19;12;7;143941;19626;7220;2019
   Удмуртская Республика;7;5;2;7;6;1;43388;5086;1981;2019
   Чувашская Республика;4;4;0;6;4;2;34458;3097;1363;2019
   Пермский край;10;8;2;13;12;1;54033;8699;3200;2019
   Кировская область;4;3;1;5;2;3;28911;3077;1224;2019
   Нижегородская область;10;10;0;17;15;2;83490;12064;4719;2019
   Оренбургская область;6;5;1;11;9;2;43510;4664;2058;2019
   Пензенская область;5;4;1;3;2;1;32503;3532;1678;2019
   Самарская область;17;11;6;6;4;2;94568;12740;5039;2019
   Саратовская область;7;6;1;11;9;2;73611;10144;3968;2019
   Ульяновская область;5;5;0;6;5;1;35589;5247;1647;2019
Уральский федеральный округ;49;37;12;50;42;8;299190;39751;14901;2019
   Курганская область;3;3;0;4;3;1;14916;1593;621;2019
   Свердловская область;23;14;9;15;15;0;119384;15768;6120;2019
   Тюменская область;5;5;0;6;4;2;52791;6567;2409;2019
   Челябинская область;13;10;3;17;14;3;88844;12975;4679;2019
   Ханты-Мансийский автономный округ;5;5;0;5;4;1;22685;2799;1054;2019
   Ямало-Ненецкий автономный округ;0;0;0;3;2;1;570;49;18;2019
Сибирский федеральный округ;72;59;13;53;43;10;475879;67345;25958;2019
   Республика Алтай;1;1;0;0;0;0;2658;346;173;2019
   Республика Тыва;1;1;0;1;0;1;4955;619;276;2019
   Республика Хакасия;1;1;0;2;2;0;8509;1183;401;2019
   Алтайский край;7;7;0;10;8;2;49051;5991;2502;2019
   Красноярский край;8;7;1;9;4;5;68746;12330;4717;2019
   Иркутская область;10;8;2;8;8;0;66147;8687;3325;2019
   Кемеровская область;7;6;1;8;8;0;46756;4789;2231;2019
   Новосибирская область;17;14;3;5;4;1;96319;12472;5284;2019
   Омская область;13;8;5;6;5;1;75164;8446;3255;2019
   Томская область;7;6;1;4;4;0;57574;12482;3794;2019
Дальневосточный федеральный округ;40;35;5;38;27;11;184754;28482;10517;2019
   Республика Бурятия;5;4;1;3;1;2;20567;2809;1354;2019
   Республика Саха (Якутия);7;5;2;9;4;5;23807;3841;1565;2019
   Забайкальский край;2;2;0;4;3;1;22385;2622;1067;2019
   Камчатский край;2;2;0;3;2;1;4597;489;176;2019
   Приморский край;8;7;1;10;9;1;45214;10431;2998;2019
   Хабаровский край;9;8;1;4;4;0;42617;5303;2223;2019
   Амурская область;4;4;0;2;2;0;14701;2027;762;2019
   Магаданская область;1;1;0;1;0;1;2724;239;112;2019
   Сахалинская область;1;1;0;1;1;0;5988;485;177;2019
   Еврейская автономная область;1;1;0;0;0;0;2017;220;75;2019
   Чукотский автономный округ;0;0;0;1;1;0;137;16;8;2019
