Субъект РФ;Самостоятельные образовательные организации, всего, 2019;Самостоятельные образовательные организации, государственные и муниципальные, 2019;Самостоятельные образовательные организаци, частные, 2019;Филиалы самостоятельных образовательных организаций, всего, 2019;Филиалы самостоятельных образовательных организаций, государственные и муниципальные, 2019;Филиалы самостоятельных образовательных организаций, частные, 2019;Численность студентов, всего человек, 2019;Численность работников, всего человек, 2019;Профессорско-преподавательский состав, всего человек, 2019;
   Удмуртская Республика;7;5;2;7;6;1;43388;5086;1981;
   Чувашская Республика;4;4;0;6;4;2;34458;3097;1363;
   Пермский край;10;8;2;13;12;1;54033;8699;3200;
   Кировская область;4;3;1;5;2;3;28911;3077;1224;
   Нижегородская область;10;10;0;17;15;2;83490;12064;4719;
   Оренбургская область;6;5;1;11;9;2;43510;4664;2058;
   Пензенская область;5;4;1;3;2;1;32503;3532;1678;
   Самарская область;17;11;6;6;4;2;94568;12740;5039;
   Саратовская область;7;6;1;11;9;2;73611;10144;3968;
   Ульяновская область;5;5;0;6;5;1;35589;5247;1647;
Уральский федеральный округ;49;37;12;50;42;8;299190;39751;14901;
   Курганская область;3;3;0;4;3;1;14916;1593;621;
   Свердловская область;23;14;9;15;15;0;119384;15768;6120;
   Тюменская область;5;5;0;6;4;2;52791;6567;2409;
   Челябинская область;13;10;3;17;14;3;88844;12975;4679;
   Ханты-Мансийский автономный округ;5;5;0;5;4;1;22685;2799;1054;
   Ямало-Ненецкий автономный округ;0;0;0;3;2;1;570;49;18;
Сибирский федеральный округ;72;59;13;53;43;10;475879;67345;25958;
   Республика Алтай;1;1;0;0;0;0;2658;346;173;
   Республика Тыва;1;1;0;1;0;1;4955;619;276;
   Республика Хакасия;1;1;0;2;2;0;8509;1183;401;
   Алтайский край;7;7;0;10;8;2;49051;5991;2502;
   Красноярский край;8;7;1;9;4;5;68746;12330;4717;
   Иркутская область;10;8;2;8;8;0;66147;8687;3325;
   Кемеровская область;7;6;1;8;8;0;46756;4789;2231;
   Новосибирская область;17;14;3;5;4;1;96319;12472;5284;
   Омская область;13;8;5;6;5;1;75164;8446;3255;
   Томская область;7;6;1;4;4;0;57574;12482;3794;
Дальневосточный федеральный округ;40;35;5;38;27;11;184754;28482;10517;
   Республика Бурятия;5;4;1;3;1;2;20567;2809;1354;
   Республика Саха (Якутия);7;5;2;9;4;5;23807;3841;1565;
   Забайкальский край;2;2;0;4;3;1;22385;2622;1067;
   Камчатский край;2;2;0;3;2;1;4597;489;176;
   Приморский край;8;7;1;10;9;1;45214;10431;2998;
   Хабаровский край;9;8;1;4;4;0;42617;5303;2223;
   Амурская область;4;4;0;2;2;0;14701;2027;762;
   Магаданская область;1;1;0;1;0;1;2724;239;112;
   Сахалинская область;1;1;0;1;1;0;5988;485;177;
   Еврейская автономная область;1;1;0;0;0;0;2017;220;75;
   Чукотский автономный округ;0;0;0;1;1;0;137;16;8;
;;;;;;;;;;
